unit_id,goal_actual,mes_classificado,name,tamanho,condominio,chave,mes,receita_projetada,receita_mensal_real,ocupacao,dias,HOA,Property Management,Utilities,dias_ocupados,adr,revpar,commission_fee_20,despesas_outras_anuais,despesas_anuais,lucro_mensal
340885,3652.0,03.Mar,1556 PD - Poolside Bliss: Enchanted 4BR Townhome,TH 4,CHAMPIONS GATE,CHAMPIONS GATE TH 4,Mar,3652.0,3652.0,0.8,31,6000.0,1800.0,6096.0,24.8,147.25806451612902,117.80645161290323,7029.8,13896.0,20925.8,1908.1833333333334
340885,3790.0,04.Apr,1556 PD - Poolside Bliss: Enchanted 4BR Townhome,TH 4,CHAMPIONS GATE,CHAMPIONS GATE TH 4,Apr,3790.0,3790.0,0.8,30,6000.0,1800.0,6096.0,24.0,157.91666666666666,126.33333333333333,7029.8,13896.0,20925.8,2046.1833333333334
340885,2139.0,05.May,1556 PD - Poolside Bliss: Enchanted 4BR Townhome,TH 4,CHAMPIONS GATE,CHAMPIONS GATE TH 4,May,2139.0,2139.0,0.6,31,6000.0,1800.0,6096.0,18.599999999999998,115.00000000000001,69.0,7029.8,13896.0,20925.8,395.1833333333334
340885,3374.0,06.Jun,1556 PD - Poolside Bliss: Enchanted 4BR Townhome,TH 4,CHAMPIONS GATE,CHAMPIONS GATE TH 4,Jun,3374.0,3374.0,0.75,30,6000.0,1800.0,6096.0,22.5,149.95555555555555,112.46666666666667,7029.8,13896.0,20925.8,1630.1833333333334
340885,3352.0,07.Jul,1556 PD - Poolside Bliss: Enchanted 4BR Townhome,TH 4,CHAMPIONS GATE,CHAMPIONS GATE TH 4,Jul,3352.0,3352.0,0.8,31,6000.0,1800.0,6096.0,24.8,135.16129032258064,108.12903225806451,7029.8,13896.0,20925.8,1608.1833333333334
340885,2530.0,08.Aug,1556 PD - Poolside Bliss: Enchanted 4BR Townhome,TH 4,CHAMPIONS GATE,CHAMPIONS GATE TH 4,Aug,2530.0,2530.0,0.7,31,6000.0,1800.0,6096.0,21.7,116.58986175115207,81.61290322580645,7029.8,13896.0,20925.8,786.1833333333334
340885,1725.0,09.Sep,1556 PD - Poolside Bliss: Enchanted 4BR Townhome,TH 4,CHAMPIONS GATE,CHAMPIONS GATE TH 4,Sep,1725.0,1725.0,0.6,30,6000.0,1800.0,6096.0,18.0,95.83333333333333,57.5,7029.8,13896.0,20925.8,-18.816666666666606
340885,2604.0,10.Oct,1556 PD - Poolside Bliss: Enchanted 4BR Townhome,TH 4,CHAMPIONS GATE,CHAMPIONS GATE TH 4,Oct,2604.0,2604.0,0.7,31,6000.0,1800.0,6096.0,21.7,120.0,84.0,7029.8,13896.0,20925.8,860.1833333333334
340885,2567.0,11.Nov,1556 PD - Poolside Bliss: Enchanted 4BR Townhome,TH 4,CHAMPIONS GATE,CHAMPIONS GATE TH 4,Nov,2567.0,2567.0,0.7,30,6000.0,1800.0,6096.0,21.0,122.23809523809524,85.56666666666666,7029.8,13896.0,20925.8,823.1833333333334
340885,4200.0,12.Dec,1556 PD - Poolside Bliss: Enchanted 4BR Townhome,TH 4,CHAMPIONS GATE,CHAMPIONS GATE TH 4,Dec,4200.0,4200.0,0.7,31,6000.0,1800.0,6096.0,21.7,193.5483870967742,135.48387096774192,7029.8,13896.0,20925.8,2456.1833333333334
